"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.9558708661416","45.0748709458676","44.0939870494095","46.8718805701389","35.8613840448959","1.18542974235897","34.3766659335553","20.2325886166466","26.1885658214863","75.991280637363","82.2470946743442","77.686012888258","74.968215078819","74.673021967466","68.2935897883788","59.0342317165632","50.3467805749794","44.2289959230058","41.6040699593758","45.7622050467875","50.2477600202337","64.4898953454089","66.0896612003525",
"Africa Eastern and Southern","AFE","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","","","","","","","","","","","","","28.7205867872638","","","","25.1352478735701","19.6774454171472","15.3121006440448","15.6075309352309","","","","","","","","","","","","","","","","23.9896229934273","","23.6473634053342","19.1642597339904","19.291167580848","18.3435727590052","18.3465418119988","17.087437566915","16.4041910460158","14.8140683045671","11.3850549362987","14.7155894222808","13.836705300792","13.5757154533877","11.2788129110512","12.0868694309346","13.9886771450011","13.2394426161819","14.4397449192778","14.7811358481906","14.81455562077","14.2290885739546","13.7450208883104","14.3978914866262","13.390639670682","12.7397920125864",
"Afghanistan","AFG","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","31.9470263425352","26.5191195162239","32.6032644912823","41.0674612740749","35.6494932322441","40.8758669399891","41.8283306892529","38.1484310185785","36.0646488583384","27.0212778139966","37.2380701578545","48.6209869747101","43.9132390487261","36.4285790011076","35.8671796746646","36.0656113061744","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.4189265757966","54.6793180958903","40.0470707086542","39.1451749348448","17.4372232341456","13.6385049931833","14.4956244475012","48.4561073127668","56.9188752183133","71.1590110962314","65.8965617553015","63.8521064680169","","","",
"Africa Western and Central","AFW","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","59.5779184225438","57.4891495941784","56.2702843676963","52.2778821705218","48.3595704456179","50.7809657145672","55.849958491198","48.3295571334892","42.6785813068435","35.3847199893172","31.4601208372616","27.8470407027195","26.700608536434","25.8293825978573","24.1717313943016","27.5520256083734","28.2113540231593","28.2917738613162","","22.8995510473576","","21.035404269021","","","","","","","","","","","","","16.3578103997144","14.0211519986355","16.2729932454425","15.1168224209789","13.5203151450968","14.3796594648614","12.8917997142127","15.3659240807078","","","12.7274105140098","12.2249110765196","12.3331792283299","15.0994718604077","13.2148338664832","12.3656595724453","12.4319923873133","11.8804414679678","12.5815015523563","15.4778719191224","15.7345056906857","14.1510066738227","14.2652162087488","12.9023179778713","12.8534358903007","12.419006625511","",
"Angola","AGO","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","65.4948250283107","","","","","","","49.6879365782789","44.6914173841939","45.4215406441069","42.0728397647753","40.5979116169701","27.629100995664","","","","23.2765767097271","14.3422470079383","8.69300388031106","5.23992346722768","","","","","","","","","0.234865204394267","0.305922032815841","","","","","","","","","","","","","","","","0.0973082531799098","","0.0811537682127195","0.054445159884038","0.0387043611300254","0.06311992262277","0.0734540911945984","0.0851709530224955","0.314687386142513","0.605231809295226","0.422552712726388","0.351065616977389","0.328761554211687","0.55183930104689","0.277592937784182","0.235477464836312",
"Albania","ALB","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.0931924918206","11.1106507877978","9.82044431818301","5.52977337734796","6.62795190197749","5.78985653392675","3.56458201253854","5.62901128428925","5.79731260967209","9.76458919983876","7.94445974938703","5.30440274635509","4.33398174988507","5.66901711582585","4.5073068809803","4.15960143420158","4.62273490169308","4.54802610803496","3.00290912050716","5.64320478687013","8.26601587027552","9.68598024214421","9.07472039859841","10.3757395871398","13.6045125426755","10.8534423824256","8.58490673917736",
"Andorra","AND","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.50849504865162","6.4759250830353","9.48420329304032","10.7273028507146","10.9177284293098","8.1987590163772","4.92858266583827","3.95143813795803","6.33199892386512","11.612928297178","28.8589023240436","30.2580095264274","2.10286961437142","14.6705419997865","10.3243186535926","0.825002017189367","0.646873756168859","1.18927628557891","0.475992218015968","1.2363875056384","1.0998142107207","0.792008202781628","0.710340454076985","0.577541189739877","0.605681555391385","1.00204226391638","0.626514574068849","0.334630957114734",
"Arab World","ARB","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","","","","","","","","","","","","","","","","","2.87019498506199","3.08683199788408","","","","","","","","","","","","1.67865963047281","2.43608666117356","4.8496078867407","","","","","","2.43987085784635","1.81905492570348","2.03452478442437","1.99903631812765","1.95337298132943","1.95066737847695","2.74353184494241","1.72526983673502","1.80290424601856","1.77633729725569","2.45464503105609","2.289609326913","2.13075500413128","2.31027589371861","2.28522641519881","2.4598600856661","3.32585502258945","3.24221432415583","3.3215489354084","4.18476381098792","3.7054947200001","4.11723725055354","3.50520232181834","",
"United Arab Emirates","ARE","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","","","","","","","","","","","","","","","","","1.21361266694696","1.87441595741752","","","","5.86911589254474","","","","","","","","1.94319429485319","3.67493823730829","7.56320261060369","","","","","","0.884048802066568","0.571437830931945","0.811991621403645","0.642647300213983","0.841162591390838","0.852279520957668","1.09002318296894","0.88383649051113","0.889205257608339","0.816996213455681","1.13910479211367","1.3878470371849","1.32693474660175","1.48346729066104","1.23046730447094","1.47701587152701","1.91155285272701","2.2459317972366","2.0305120869948","4.20622130225795","3.00157089521718","3.50812368247745","3.13304857505344","2.98937988980329",
"Argentina","ARG","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","71.5167223633344","72.1241541588727","77.2266517724288","81.6353758360789","77.9182522915024","76.8299597678787","72.7400804506803","73.8757029594811","74.3184088352766","76.6992729476363","71.7539030834867","69.9073242543211","70.517253346656","68.8689882099692","68.2431551244986","68.7878167390924","65.446102521047","69.401213547257","64.9548396689522","66.8359508767248","62.5132745031883","74.9687054919103","73.4018510897571","66.0707880476956","66.6284777507564","61.0593445750818","","","","","61.0130433964766","55.2876092343831","51.8166376977356","49.7881907475278","51.9243431309429","48.6027501111139","50.5997700697432","49.1711930000543","43.6244523735379","44.2313342975993","45.6788253892065","49.0294871977296","47.7752069830924","46.464867640411","44.5977443215927","50.4037608075611","52.5963061353392","49.558597182612","49.6398954420326","52.1519233555649","52.162833980485","54.3964089608713","54.3461846183583","59.9397413337904","62.8534172617989","59.8249233265025","54.4531687561969","58.766536541511","64.8863645749868","54.0080383808096","59.9214408806748",
